"UF","cod.UF","cod Municipio","Nome do municipio","População estimada","PIB per capita","PIB TOTAL","Atividade econômica","Ranking PIB per capita","Ranking PIB Total"
"SP","35","3539608","Planalto","4.941","4.349.317","220.379.893","Indústrias de transformação","436","2202"
"SP","35","3539707","Platina","3.434","2.603.376","90.805.756","Agricultura, inclusive apoio à agricultura e a pós colheita","1360","3642"
"SP","35","3539806","Poá","113.793","3.651.134","4.216.622.163","Demais serviços","679","204"
"SP","35","3539905","Poloni","5.833","2.425.428","143.949.158","Demais serviços","1541","2904"
"SP","35","3540002","Pompéia","21.375","3.810.548","825.898.215","Demais serviços","612","832"
"SP","35","3540101","Pongaí","3.508","2.191.656","7.626.963","Demais serviços","1822","5411"
"SP","35","3540200","Pontal","45.978","2.547.832","1.213.736.241","Indústrias de transformação","1415","602"
"SP","35","3540259","Pontalinda","4.433","1.872.491","84.617.868","Agricultura, inclusive apoio à agricultura e a pós colheita","2227","3750"
"SP","35","3540309","Pontes Gestal","2.593","5.874.611","152.387.402","Indústrias de transformação","174","2806"
"SP","35","3540408","Populina","4.269","2.320.135","98.373.727","Agricultura, inclusive apoio à agricultura e a pós colheita","1663","3506"
"SP","35","3540507","Porangaba","9.299","1.914.657","183.136.937","Demais serviços","2164","2509"
"SP","35","3540606","Porto Feliz","51.928","3.669.002","1.926.482.926","Demais serviços","674","408"
"SP","35","3540705","Porto Ferreira","54.761","3.562.957","1.975.018.492","Demais serviços","714","399"
"SP","35","3540754","Potim","22.453","96.872","226.293.013","Administração, defesa, educação e saúde públicas e seguridade social","5397","2157"
"SP","35","3540804","Potirendaba","16.709","3.126.711","531.603.459","Demais serviços","968","1158"
"SP","35","3540853","Pracinha","3.547","748.594","28.207.036","Administração, defesa, educação e saúde públicas e seguridade social","4461","5114"
"SP","35","3540903","Pradópolis","19.814","4.095.377","840.207.626","Indústrias de transformação","519","816"
"SP","35","3541000","Praia Grande","299.261","215.745","6.688.613.693","Demais serviços","5187","141"
"SP","35","3541059","Pratânia","5.021","2.191.656","112.344.274","Demais serviços","1823","3301"
"SP","35","3541109","Presidente Alves","4.179","1.523.386","63.296.701","Demais serviços","2707","4196"
"SP","35","3541208","Presidente Bernardes","13.568","1.892.116","253.921.915","Demais serviços","2196","2003"
"SP","35","3541307","Presidente Epitácio","43.535","1.943.267","853.035.936","Demais serviços","2133","803"
"SP","35","3541406","Presidente Prudente","222.192","3.465.521","7.806.812.759","Demais serviços","764","127"
"SP","35","3541505","Presidente Venceslau","39.407","1.825.545","721.893.445","Demais serviços","2286","913"
"SP","35","3541604","Promissão","38.764","4.622.465","18.261.509","Indústrias de transformação","360","5263"
"SP","35","3541653","Quadra","3.587","2.415.762","88.900.056","Agricultura, inclusive apoio à agricultura e a pós colheita","1558","3674"
"SP","35","3541703","Quatá","13.702","3.296.228","457.945.022","Demais serviços","852","1301"
"SP","35","3541802","Queiroz","3.166","11.290.388","368.856.974","Indústrias de transformação","38","1513"
"SP","35","3541901","Queluz","12.600","2.510.737","325.115.382","Demais serviços","1454","1657"
"SP","35","3542008","Quintana","6.437","2.408.077","157.247.396","Demais serviços","1565","2757"
"SP","35","3542107","Rafard","9.004","3.601.094","326.043.048","Indústrias de transformação","696","1653"
"SP","35","3542206","Rancharia","29.778","4.438.859","1.323.712.099","Demais serviços","420","566"
"SP","35","3542305","Redenção da Serra","3.930","1.459.353","57.031.498","Demais serviços","2806","4351"
"SP","35","3542404","Regente Feijó","19.733","3.282.069","655.921.486","Demais serviços","861","993"
"SP","35","3542503","Reginópolis","8.640","1.627.337","147.143.839","Agricultura, inclusive apoio à agricultura e a pós colheita","2553","2869"
"SP","35","3542602","Registro","56.280","3.457.253","1.950.927.783","Demais serviços","771","406"
"SP","35","3542701","Restinga","7.223","225.546","166.543.193","Demais serviços","5173","2665"
"SP","35","3542800","Ribeira","3.408","139.539","47.303.738","Administração, defesa, educação e saúde públicas e seguridade social","5305","4624"
"SP","35","3542909","Ribeirão Bonito","12.909","2.091.486","273.148.041","Demais serviços","1948","1885"
"SP","35","3543006","Ribeirão Branco","17.646","2.208.584","380.318.185","Agricultura, inclusive apoio à agricultura e a pós colheita","1807","1480"
"SP","35","3543105","Ribeirão Corrente","4.579","1.870.175","8.685.093","Demais serviços","2232","5389"
"SP","35","3543204","Ribeirão do Sul","4.573","3.105.311","141.943.773","Demais serviços","980","2923"
"SP","35","3543238","Ribeirão dos Índios","2.245","1.681.793","37.722.607","Administração, defesa, educação e saúde públicas e seguridade social","2469","4894"
"SP","35","3543253","Ribeirão Grande","7.682","3.848.565","296.224.027","Indústrias de transformação","588","1793"
"SP","35","3543303","Ribeirão Pires","120.396","2.500.217","3.046.464.997","Demais serviços","1463","272"
"SP","35","3543402","Ribeirão Preto","666.323","5.175.984","35.315.843.181","Demais serviços","261","20"
"SP","35","3543600","Rifaina","3.597","3.089.169","111.766.147","Demais serviços","990","3308"
"SP","35","3543709","Rincão","10.796","1.975.106","213.765.678","Demais serviços","2088","2254"
"SP","35","3543808","Rinópolis","10.133","2.396.834","242.032.293","Demais serviços","1576","2063"
"SP","35","3543907","Rio Claro","199.961","4.640.699","9.418.390.654","Demais serviços","355","94"
"SP","35","3544004","Rio das Pedras","32.982","3.518.943","1.194.153.184","Demais serviços","739","606"
"SP","35","3544103","Rio Grande da Serra","48.302","1.236.516","610.937.895","Demais serviços","3140","1055"
"SP","35","3544202","Riolândia","11.766","187.286","226.353.813","Agricultura, inclusive apoio à agricultura e a pós colheita","5235","2156"
"SP","35","3543501","Riversul","5.941","1.120.404","64.893.805","Administração, defesa, educação e saúde públicas e seguridade social","3332","4160"
"SP","35","3544251","Rosana","18.459","7.053.104","1.255.099.883","Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação","104","590"
"SP","35","3544301","Roseira","10.344","2.696.985","283.507.056","Demais serviços","1270","1842"
